1,1.4379350348,1.88091251207
2,6.13863109049,4.7297373229
3,9.00522041763,6.01281471102
4,11.6519721578,7.33072310858
5,14.1693735499,8.63172617598
6,16.5087006961,9.74417498608
7,19.5214617169,10.4798329925
8,21.4605568445,11.5535080131
9,24.1455916473,11.7125168403
10,26.2099767981,12.5397044929
11,28.6577726218,12.7109511816
12,30.6305104408,13.2221123002
13,32.4153132251,13.7126766096
14,33.9182134571,14.4382542188
15,35.8010440835,14.7808555341
16,37.0899071926,15.3649338221
17,38.3167053364,15.7539987749
18,39.6513921114,16.023038523
19,40.8909512761,16.4011480781
20,42.0980278422,16.7173154375
21,43.2070765661,17.2291609985
22,44.3236658933,17.7057357506
23,45.4025522042,18.2301518429
24,46.5957076566,18.6862481377
25,47.5545243619,19.1445292597
26,48.8370069606,19.1804153586
27,49.6455916473,19.5619854527
28,50.436774942,19.9172942703
29,51.2436194896,20.3010114591
30,51.9617169374,20.6101472075
31,52.6618329466,20.9262155311
32,53.3294663573,21.2386127367
33,53.9483758701,21.5210008547
34,54.5597447796,21.795609119
35,55.1392111369,22.0645778863
36,55.7006960557,22.3191425923
37,56.1885150812,22.5535538404
38,56.6786542923,22.7988403275
39,57.2262180974,22.8462499065
40,57.659512761,23.0780198332
41,58.0591647332,23.2593556946
42,58.4535962877,23.4248601749
43,58.8138051044,23.597369027
44,59.1989559165,23.7605742953
45,59.5411832947,23.9245390018
46,59.8671693736,24.0720192532
47,60.1832946636,24.2193433096
48,58.9461472707,24.0115309803
49,58.56160966,23.9704576042
50,57.7964681619,23.8177486475
51,57.3099029741,23.7037072398
52,57.1465717257,23.6781070088
53,56.9686505153,23.6340545417
54,57.1581773053,23.7120370562
55,57.4772028274,23.5649976725
56,57.8083688556,23.4327964784
57,57.1967185946,23.2371358284
58,57.3534692299,23.2889712052
59,57.492266048,23.3430953988
60,57.6365871175,23.4201720199
61,57.7677880897,23.4761593145
62,57.8913932162,23.5292864393
63,57.9991161198,23.5756842004
64,58.1123632748,23.6281041363
65,58.2159429897,23.6780449315
66,57.1331385523,23.3407375168
67,57.2226518862,23.3798707043
68,57.3014236201,23.4165175538
69,57.3758987139,23.4406474211
70,57.4367677809,23.4531763222
71,57.4940563146,23.4628616188
72,57.5298616482,23.4731675652
73,57.5649508751,23.4763450683
74,57.5935951419,23.4824702955
75,57.6229555155,23.4839165995
76,57.650167569,23.4857845804
77,57.6788118358,23.4878919208
78,57.7053077826,23.4916405705
79,57.7196299161,23.4945008574
80,57.7318037295,23.4959704288
81,57.7411131162,23.4980415672
82,57.7497063963,23.4989353522
83,57.7561513563,23.4993393512
84,57.7597318897,23.4986831466
85,57.7640285297,23.4992949429
86,57.7676090631,23.5006402058
87,57.7711895964,23.5019936832
88,57.7740540231,23.5028066748
89,57.7754862364,23.5022674983
90,57.7769184498,23.5017317569
91,57.7783506631,23.501199451
92,57.7797828765,23.5006705807
93,57.7812150898,23.5001451463
94,57.7833634098,23.5005304674
95,57.7847956232,23.5000118819
96,57.7869439432,23.5004057156
97,57.7876600498,23.5013164087
98,57.7905244765,23.5018234227
99,57.7912405832,23.5019315622
